film,year,critics_score,audience_score
Avengers: Age of Ultron,2015,74,86
Cinderella,2015,85,80
Ant-Man,2015,80,90
Do You Believe?,2015,18,84
Hot Tub Time Machine 2,2015,14,28
The Water Diviner,2015,63,62
Irrational Man,2015,42,53
Top Five,2014,86,64
Shaun the Sheep Movie,2015,99,82
Love & Mercy,2015,89,87
Far From The Madding Crowd,2015,84,77
Black Sea,2015,82,60
Leviathan,2014,99,79
Unbroken,2014,51,70
The Imitation Game,2014,90,92
Taken 3,2015,9,46
Ted 2,2015,46,58
Southpaw,2015,59,80
Night at the Museum: Secret of the Tomb,2014,50,58
Pixels,2015,17,54
"McFarland, USA",2015,79,89
Insidious: Chapter 3,2015,59,56
The Man From U.N.C.L.E.,2015,68,80
Run All Night,2015,60,59
Trainwreck,2015,85,74
Selma,2014,99,86
Ex Machina,2015,92,86
Still Alice,2015,88,85
Wild Tales,2014,96,92
The End of the Tour,2015,92,89
Red Army,2015,96,86
When Marnie Was There,2015,89,89
The Hunting Ground,2015,92,72
The Boy Next Door,2015,10,35
Aloha,2015,19,31
The Loft,2015,11,40
5 Flights Up,2015,52,47
Welcome to Me,2015,71,47
Saint Laurent,2015,51,45
Maps to the Stars,2015,60,46
I'll See You In My Dreams,2015,94,70
Timbuktu,2015,99,78
About Elly,2015,97,86
The Diary of a Teenage Girl,2015,95,81
Kingsman: The Secret Service,2015,75,84
Tomorrowland,2015,50,53
The Divergent Series: Insurgent,2015,30,61
Annie,2014,27,61
Fantastic Four,2015,9,20
Terminator Genisys,2015,26,60
Pitch Perfect 2,2015,67,68
Entourage,2015,32,68
The Age of Adaline,2015,54,68
Hot Pursuit,2015,8,37
The DUFF,2015,71,68
Black or White,2015,39,68
Project Almanac,2015,34,46
Ricki and the Flash,2015,64,53
Seventh Son,2015,12,35
Mortdecai,2015,12,30
Unfinished Business,2015,11,27
American Ultra,2015,46,52
True Story,2015,45,41
Child 44,2015,26,44
Dark Places,2015,26,33
Birdman,2014,92,78
The Gift,2015,93,79
Unfriended,2015,60,39
Monkey Kingdom,2015,94,77
Mr. Turner,2014,98,56
Seymour: An Introduction,2015,100,87
The Wrecking Crew,2015,93,84
American Sniper,2015,72,85
Furious 7,2015,81,84
The Hobbit: The Battle of the Five Armies,2014,61,75
San Andreas,2015,50,58
Straight Outta Compton,2015,90,94
Vacation,2015,27,55
Chappie,2015,30,57
Poltergeist,2015,31,24
Paper Towns,2015,55,57
Big Eyes,2014,72,69
Blackhat,2015,34,25
Self/less,2015,20,51
Sinister 2,2015,13,34
Little Boy,2015,20,81
Me and Earl and The Dying Girl,2015,81,89
Maggie,2015,54,32
Mad Max: Fury Road,2015,97,88
Spy,2015,93,82
The SpongeBob Movie: Sponge Out of Water,2015,78,55
Paddington,2015,98,81
Dope,2015,87,86
What We Do in the Shadows,2015,96,86
The Overnight,2015,82,65
The Salt of the Earth,2015,96,90
Song of the Sea,2014,99,92
Fifty Shades of Grey,2015,25,42
Get Hard,2015,29,48
Focus,2015,57,54
Jupiter Ascending,2015,26,40
The Gallows,2015,16,27
The Second Best Exotic Marigold Hotel,2015,62,63
Strange Magic,2015,17,50
The Gunman,2015,17,34
Hitman: Agent 47,2015,7,49
Cake,2015,49,47
The Vatican Tapes,2015,13,21
A Little Chaos,2015,40,47
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,2015,67,69
Escobar: Paradise Lost,2015,52,52
Into the Woods,2014,71,50
It Follows,2015,96,65
Inherent Vice,2014,73,52
A Most Violent Year,2014,90,69
While We're Young,2015,83,52
Clouds of Sils Maria,2015,89,67
Testament of Youth,2015,81,79
Infinitely Polar Bear,2015,80,76
Phoenix,2015,99,81
The Wolfpack,2015,84,73
The Stanford Prison Experiment,2015,84,87
Tangerine,2015,95,86
Magic Mike XXL,2015,62,64
Home,2015,45,65
The Wedding Ringer,2015,27,66
Woman in Gold,2015,52,81
The Last Five Years,2015,60,60
Mission: Impossible â€“ Rogue Nation,2015,92,90
Amy,2015,97,91
Jurassic World,2015,71,81
Minions,2015,54,52
Max,2015,35,73
Paul Blart: Mall Cop 2,2015,5,36
The Longest Ride,2015,31,73
The Lazarus Effect,2015,14,23
The Woman In Black 2 Angel of Death,2015,22,25
Danny Collins,2015,77,75
Spare Parts,2015,52,83
Serena,2015,18,25
Inside Out,2015,98,90
Mr. Holmes,2015,87,78
'71,2015,97,82
"Two Days, One Night",2014,97,78
Gett: The Trial of Viviane Amsalem,2015,100,81
"Kumiko, The Treasure Hunter",2015,87,63
